"Cluster","X59","X60","X61","pval","perc","lam","conf","rm"
"0740 Pvalb Gaba_3",NA,NA,0.005,0.005,0,123,0.71,55
"0742 Pvalb Gaba_3",NA,NA,0.005,0.005,0,63,0.71,72
"0776 Sst Gaba_4",NA,0.01,NA,0.01,0,18,0.71,111
"0798 Sst Gaba_9",0.03,NA,NA,0.03,0,13,0.7,111
"0819 Sst Gaba_16",0.015,NA,NA,0.015,0,9,0.69,111
