"cluster","%59","%60","%61"
"0740 Pvalb Gaba_3",NA,0.5,0.65
"0741 Pvalb Gaba_3",NA,0.44,NA
"0742 Pvalb Gaba_3",0.44,NA,0.69
"0743 Pvalb Gaba_4",0.43,NA,NA
"0776 Sst Gaba_4",NA,0.69,NA
"0798 Sst Gaba_9",0.6,NA,NA
"0803 Sst Gaba_10",NA,0.42,NA
"0819 Sst Gaba_16",0.52,NA,NA
